Dis Loss: 0.00399965513498, Cls Loss: 0.029729001224, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00509276194498, Cls Loss: 0.112514361739, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00507830735296, Cls Loss: 0.0705089122057, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00379161047749, Cls Loss: 0.0800604820251, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00571160251275, Cls Loss: 0.0446820110083, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00470952829346, Cls Loss: 0.0398795008659, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00690906727687, Cls Loss: 0.0992165058851, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00446418579668, Cls Loss: 0.0821895599365, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0044578476809, Cls Loss: 0.0322776995599, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00570461526513, Cls Loss: 0.0650118067861, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00549853919074, Cls Loss: 0.0504232347012, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00388650037348, Cls Loss: 0.129654437304, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00780218094587, Cls Loss: 0.0459640324116, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00588699011132, Cls Loss: 0.0635501295328, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00327239348553, Cls Loss: 0.0425560176373, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00459404895082, Cls Loss: 0.0682985782623, Lr C: 0.0002, Lr G: 0.0002 
